metric,node,pod,namespace,container,timestamp,value
cpu,minikube,kube-proxy-fshvh,kube-system,,1780396635,0.0007645128205128198
cpu,minikube,kube-proxy-fshvh,kube-system,,1780396650,0.0007570406763030862
cpu,minikube,kube-proxy-fshvh,kube-system,,1780396665,0.0007244700663927569
cpu,minikube,kube-proxy-fshvh,kube-system,,1780396680,0.0007479824926171608
cpu,minikube,kube-proxy-fshvh,kube-system,,1780396695,0.0007339569524624066
cpu,minikube,kube-proxy-fshvh,kube-system,,1780396710,0.0006724107007838805
cpu,minikube,kube-proxy-fshvh,kube-system,,1780396725,0.0006927633795650025
cpu,minikube,kube-proxy-fshvh,kube-system,,1780396740,0.0006676804009831221
cpu,minikube,kube-proxy-fshvh,kube-system,,1780396755,0.0006691812447161318
cpu,minikube,kube-proxy-fshvh,kube-system,,1780396770,0.0006035632412137428
cpu,minikube,kube-proxy-fshvh,kube-system,,1780396785,0.000661628596908233
cpu,minikube,kube-proxy-fshvh,kube-system,,1780396800,0.000655074824023304
cpu,minikube,kube-proxy-fshvh,kube-system,,1780396815,0.0006917214676418183
cpu,minikube,kube-proxy-fshvh,kube-system,,1780396830,0.0006133178243208265
cpu,minikube,kube-proxy-fshvh,kube-system,,1780396845,0.0006050716509156195
cpu,minikube,kube-proxy-fshvh,kube-system,,1780396860,0.0006028602899757101
cpu,minikube,kube-proxy-fshvh,kube-system,,1780396875,0.0006179172938737233
cpu,minikube,kube-proxy-fshvh,kube-system,,1780396890,0.0006235614800225109
cpu,minikube,kube-proxy-fshvh,kube-system,,1780396905,0.0006342761981039229
cpu,minikube,kube-proxy-fshvh,kube-system,,1780396920,0.0006539639090562382
cpu,minikube,kube-proxy-fshvh,kube-system,,1780396935,0.0006759144361878642
cpu,minikube,kube-proxy-fshvh,kube-system,,1780396950,0.0006286146603900444
cpu,minikube,kube-proxy-fshvh,kube-system,,1780396965,0.0006261276732954312
cpu,minikube,kube-proxy-fshvh,kube-system,,1780396980,0.0006144102596500065
cpu,minikube,kube-proxy-fshvh,kube-system,,1780396995,0.0006786465249136188
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397010,0.0006552828212784681
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397025,0.0006707720003857732
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397040,0.0006977150280031504
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397055,0.0007266140193763737
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397070,0.0006965619918629446
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397085,0.0006624342027317512
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397100,0.0006210675425439749
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397115,0.0006886750502481229
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397130,0.0006577430670085705
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397145,0.0006849062636444588
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397160,0.0006998432821201712
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397175,0.0006573520975814178
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397190,0.000653417740652636
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397205,0.0006538324966754153
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397220,0.0006217004014865779
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397235,0.0006689916433760915
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397250,0.0006507141908284343
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397265,0.0006565997426622345
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397280,0.0006608732722871895
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397295,0.000681965268040123
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397310,0.0006539321993984214
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397325,0.0006699927033273566
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397340,0.0006107583610124837
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397355,0.0005957750679884215
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397370,0.0006019518689268236
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397385,0.000573245134722415
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397400,0.0006064189596028074
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397415,0.0006182999944742254
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397430,0.0005932707624898453
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397445,0.0005818628073293525
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397460,0.0005802044830642189
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397475,0.0005642047868330426
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397490,0.0005863201415968359
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397505,0.0005895680137503696
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397520,0.0005977865506669634
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397535,0.0006144206827131925
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397550,0.0006115636945506256
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397565,0.0005758524481928761
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397580,0.0005484734830726359
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397595,0.0005730298889482284
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397610,0.0005488275328531263
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397625,0.0005636219271613049
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397640,0.0006021720178872078
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397655,0.0005954060805897719
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397670,0.0005931698332551336
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397685,0.0005498730125595775
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397700,0.0005731243778627194
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397715,0.0005760943524608725
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397730,0.0005623520786398908
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397745,0.0005737056126082843
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397760,0.0005320713819735298
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397775,0.0005448348819215741
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397790,0.0005578039786007402
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397805,0.0005188987938815831
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397820,0.0004969119489510394
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397835,0.0005535635416703503
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397850,0.0005122057264050878
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397865,0.0005521436671688051
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397880,0.0005959351651659923
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397895,0.0005670001719099167
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397910,0.0005740413977875091
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397925,0.0005824400149245182
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397940,0.00061287550440891
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397955,0.0006089144631384477
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397970,0.000602573796818403
cpu,minikube,kube-proxy-fshvh,kube-system,,1780397985,0.0006044056146743363
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398000,0.0005946770232841128
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398015,0.0006824575695858755
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398030,0.0006917230131493995
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398045,0.000689195569398826
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398060,0.0006556182887987773
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398075,0.0006744482746366263
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398090,0.000682727936222774
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398105,0.0006142269011540389
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398120,0.0006915122071129346
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398135,0.000716598338752442
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398150,0.0006653322327692903
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398165,0.0006321594207673065
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398180,0.0007751315046723288
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398195,0.000696397835255984
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398210,0.0006928286839171579
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398225,0.0006993918107859073
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398240,0.0009464091202797554
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398255,0.000984772991686326
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398270,0.0009075159323912419
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398285,0.000868440118951065
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398300,0.0008406683788802639
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398315,0.0008586280526098546
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398330,0.0008675079767065843
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398345,0.000841705151726024
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398360,0.0008599541094915603
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398375,0.0008537244516873745
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398390,0.0008808124871228323
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398405,0.000818109713424374
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398420,0.0007875998954233599
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398435,0.0008049942974613134
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398450,0.0007880490003139316
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398465,0.0006843711202886958
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398480,0.0006692367085011679
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398495,0.0006887086364191434
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398510,0.00042654798642994195
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398525,0.00042002774616301523
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398540,0.0004079843386200581
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398555,0.0004184881108919399
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398570,0.00040871037396787713
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398585,0.00041846608343204566
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398600,0.0004133619591975369
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398615,0.00042642134058160335
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398630,0.00042091430819015774
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398645,0.00040950535876152976
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398660,0.0004181980100285431
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398675,0.00039848997749144914
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398690,0.00038205736935725105
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398705,0.00042357829902126107
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398720,0.0004112825002188572
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398735,0.00043806863748237034
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398750,0.00044345309078293863
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398765,0.0004345300376404722
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398780,0.0004022850808797462
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398795,0.0004037724955642552
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398810,0.0004337171600329483
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398825,0.0003977903253403729
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398840,0.00045712262815066453
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398855,0.00044181770422905295
cpu,minikube,kube-proxy-fshvh,kube-system,,1780398870,0.0004343466685228043
